,Nightlord,Shifting Earth,Spawn Point,Special Event,Night 1 Boss,Night 2 Boss,Extra Night Boss,Night 1 Circle,Night 2 Circle,Castle,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Arena Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rot Blessing,Frenzy Tower,Scale-Bearing Merchant
140,Maris,Mountaintop,Far Southwest,Day 1 Night Horde,Valiant Gargoyle,Tree Sentinel and Royal Cavalrymen,,Southwest Corner,Southeast Mountaintop,Crucible Knights,Ruins - Albinaurics,Fort - Guardian Golem,Camp - Banished Knights,,,,,Camp - Redmane Knights,Fort - Abductor Virgin,Great Church - Fire Monk,Camp - Redmane Knights,Ruins - Battlemages,Great Church - Oracle Envoys,Great Church - Fire Monk,Ruins - Battlemages,Fort - Abductor Virgin,Small Camp - Rats and Demi-Humans,Church - Normal,Church - Normal,,,Small Camp - Dogs and Soldiers,Small Camp - Dogs,Sorcerer's Rise - Missing Statue,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Withered Trees,Godskin Apostle,,,,Crystalians,Bloodhound Knight,Omen,Red Wolf,Ulcerated Tree Spirit,Bell Bearing Hunter,Miranda Blossom,,,,,Royal Carian Knight,Black Knife Assassin,Erdtree Avatar,Demi-Human Queen,,,,,,,,,,,East of Saintsbridge
141,Maris,Mountaintop,Southeast of Lake,,Grafted Monarch,Godskin Duo,,Northwest Mistwood Pond,Southeast Mountaintop,Trolls,Great Church - Fire Monk,Great Church - Oracle Envoys,Camp - Elder Lion,,,,,Camp - Flame Chariots,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Camp - Flame Chariots,Ruins - Albinauric Archers,Fort - Guardian Golem,Ruins - Albinauric Archers,Fort - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Church - Normal,Sorcerer's Rise - Fleeing Stump,Small Camp - Caravans,,,Small Camp - Shack,Church - Normal,Church - Normal,Sorcerer's Rise - Windy Trees,Small Camp - Misbegotten,Small Camp - Soldiers,Crucible Knight with Sword,,,,Beastmen of Farum Azula,Crystalians,Ancient Dragon,Black Knife Assassin,Royal Carian Knight,Royal Revenant,Draconic Tree Sentinel,,,,,Magma Wyrm,Leonine Misbegotten,Erdtree Avatar,Red Wolf,,,,,,,,,,,
142,Maris,Mountaintop,Far Southwest,,Smelter Demon,Fallingstar Beast,,Northwest Mistwood Pond,Southeast Mountaintop,Crucible Knights,Camp - Redmane Knights,Fort - Guardian Golem,Ruins - Ancient Heroes of Zamor,,,,,Ruins - Perfumer,Camp - Redmane Knights,Ruins - Ancient Heroes of Zamor,Camp - Redmane Knights,Fort - Lordsworn Captain,Great Church - Mausoleum Knight,Great Church - Fire Monk,Great Church - Fire Monk,Camp - Flame Chariots,Small Camp - Wandering Nobles,Church - Normal,Township - Township,,,Small Camp - Guilty,Church - Normal,Small Camp - Misbegotten,Sorcerer's Rise - Missing Statue,Sorcerer's Rise - Above Door,Church - Normal,Stoneskin Lords,,,,Godskin Noble,Crystalians,Grave Warden Duelist,Grafted Scion,Ulcerated Tree Spirit,Royal Carian Knight,Red Wolf,,,,,Draconic Tree Sentinel,Golden Hippopotamus,Royal Revenant,Flying Dragon,,,,,,,,,,,
143,Maris,Mountaintop,Southeast of Lake,Day 2 Gnoster Plague,Wormface,Tree Sentinel and Royal Cavalrymen,,Northwest Mistwood Pond,Southeast Mountaintop,Banished Knights,Fort - Lordsworn Captain,Camp - Redmane Knights,Great Church - Guardian Golem,,,,,Ruins - Battlemages,Fort - Abductor Virgin,Great Church - Fire Monk,Ruins - Wormface,Ruins - Battlemages,Camp - Banished Knights,Camp - Banished Knights,Camp - Redmane Knights,Fort - Lordsworn Captain,Sorcerer's Rise - Fake Building,Small Camp - Dogs and Soldiers,Church - Normal,,,Small Camp - Foot Soldiers,Church - Normal,Small Camp - Dogs,Small Camp - Dogs,Small Camp - Dogs,Church - Normal,Banished Knights,,,,Godskin Apostle,Grave Warden Duelist,Nox Warriors,Bell Bearing Hunter,Ulcerated Tree Spirit,Magma Wyrm,Night's Cavalry,,,,,Golden Hippopotamus,Erdtree Avatar,Royal Carian Knight,Leonine Misbegotten,,,,,,,,,,,
144,Maris,Mountaintop,Minor Erdtree,,Gaping Dragon,Fallingstar Beast,,Southwest Mistwood,Southeast Mountaintop,Crucible Knights,Ruins - Beastmen of Farum Azula,Ruins - Beastmen of Farum Azula,Camp - Frenzied Flame Troll,,,,,Camp - Frenzied Flame Troll,Camp - Leonine Misbegotten,Great Church - Oracle Envoys,Great Church - Oracle Envoys,Ruins - Runebear,Fort - Lordsworn Captain,Fort - Crystalians,Great Church - Mausoleum Knight,Camp - Leonine Misbegotten,Small Camp - Soldiers,Church - Normal,Church - Normal,,,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Demi-Humans,Small Camp - Dogs and Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Withered Trees,Beastmen of Farum Azula,,,,Bloodhound Knight,Stoneskin Lords,Godskin Apostle,Ancient Hero of Zamor,Ulcerated Tree Spirit,Magma Wyrm,Miranda Blossom,,,,,Golden Hippopotamus,Flying Dragon,Night's Cavalry,Draconic Tree Sentinel,,,,,,,,,,,
145,Maris,Crater,West of Warmaster's Shack,,Wormface,Godskin Duo,,Northwest Mistwood Pond,North of Crater,Banished Knights,Camp - Redmane Knights,Fort - Abductor Virgin,Ruins - Battlemages,Great Church - Oracle Envoys,,Fort - Lordsworn Captain,,Great Church - Fire Monk,Ruins - Albinauric Archers,Camp - Flame Chariots,Great Church - Fire Monk,,,Ruins - Battlemages,,Camp - Redmane Knights,Small Camp - Dogs,Small Camp - Caravans,Church - Normal,,Small Camp - Rats and Demi-Humans,Church - Normal,Small Camp - Dogs,Small Camp - Misbegotten,Sorcerer's Rise - Fake Building,Church - Normal,,Stoneskin Lords,,Godskin Noble,,Banished Knights,Beastly Brigade,,Black Knife Assassin,Royal Carian Knight,Royal Revenant,Draconic Tree Sentinel,Leonine Misbegotten,,,Flying Dragon,Black Blade Kindred,Golden Hippopotamus,,,,,,,,,,,,,Southwest Corner
146,Maris,Crater,Southeast of Lake,,Smelter Demon,Fallingstar Beast,,West Stormhill Graveyard,North of Crater,Crucible Knights,Ruins - Beastmen of Farum Azula,Ruins - Battlemages,Camp - Leonine Misbegotten,Fort - Lordsworn Captain,,Great Church - Oracle Envoys,,Ruins - Beastmen of Farum Azula,Fort - Abductor Virgin,Camp - Royal Army Knights,Ruins - Battlemages,,,Great Church - Fire Monk,,Fort - Lordsworn Captain,Church - Normal,Church - Normal,Sorcerer's Rise - Missing Statue,,Church - Normal,Small Camp - Demi-Humans,Small Camp - Soldiers,,Sorcerer's Rise - Unlit Candle,Small Camp - Guilty,,Crucible Knight with Spear,,Nox Warriors,,Beastmen of Farum Azula,Crystalians,,Black Knife Assassin,Ancestor Spirit,Royal Revenant,Flying Dragon,Erdtree Avatar,,,Night's Cavalry,Red Wolf,Tree Sentinel,,,,,,,,,,,,,
147,Maris,Crater,East of Cavalry Bridge,Walking Mausoleum,Grafted Monarch,Fallingstar Beast,,South Lake,North of Crater,Trolls,Camp - Flame Chariots,Great Church - Fire Monk,Ruins - Perfumer,Ruins - Runebear,,Great Church - Guardian Golem,,Ruins - Perfumer,Fort - Lordsworn Captain,Fort - Crystalians,Fort - Lordsworn Captain,,,Map Event - Northeast Mistwood,,Camp - Redmane Knights,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Soldiers,,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Wandering Nobles,Church - Normal,Township - Township,Sorcerer's Rise - Fog Door,,Banished Knights,,Beastmen of Farum Azula,,Dragonkin Soldier,Bloodhound Knight,,Ancient Hero of Zamor,Magma Wyrm,Demi-Human Queen,Bell Bearing Hunter,Golden Hippopotamus,,,Flying Dragon,Ulcerated Tree Spirit,Red Wolf,,,,,,,,,,,,,
148,Maris,Crater,Below Summonwater Hawk,Day 1 Gnoster Plague,Gaping Dragon,Tree Sentinel and Royal Cavalrymen,,Northeast Corner,North of Crater,Banished Knights,Ruins - Wormface,Camp - Frenzied Flame Troll,Ruins - Perfumer,Ruins - Perfumer,,Camp - Frenzied Flame Troll,,Camp - Banished Knights,Fort - Abductor Virgin,Ruins - Wormface,Great Church - Guardian Golem,,,Ruins - Perfumer,,Fort - Guardian Golem,Small Camp - Dogs,Sorcerer's Rise - Imp Statue,Small Camp - Guilty,,Church - Normal,Church - Normal,Small Camp - Guilty,Church - Normal,Small Camp - Caravans and Nobles,Small Camp - Dogs,,Bloodhound Knight,,Omen,,Crystalians,Dragonkin Soldier,,Leonine Misbegotten,Bell Bearing Hunter,Death Rite Bird,Golden Hippopotamus,Ulcerated Tree Spirit,,,Black Knife Assassin,Black Blade Kindred,Ancient Hero of Zamor,,,,,,,,,,,,,
149,Maris,Crater,East of Cavalry Bridge,,Valiant Gargoyle,Godskin Duo,,West Stormhill Graveyard,North of Crater,Crucible Knights,Great Church - Oracle Envoys,Fort - Abductor Virgin,Ruins - Sanguine Noble,Camp - Banished Knights,,Fort - Abductor Virgin,,Great Church - Mausoleum Knight,Great Church - Mausoleum Knight,Fort - Lordsworn Captain,Ruins - Albinaurics,,,Camp - Elder Lion,,Ruins - Sanguine Noble,Small Camp - Guilty,Township - Township,Church - Normal,,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Caravans and Nobles,Sorcerer's Rise - Withered Trees,Sorcerer's Rise - Windy Trees,Church - Normal,,Crystalians,,Godskin Noble,,Stoneskin Lords,Omen,,Ancient Hero of Zamor,Tree Sentinel,Magma Wyrm,Night's Cavalry,Black Knife Assassin,,,Erdtree Avatar,Leonine Misbegotten,Ulcerated Tree Spirit,,,,,,,,,,,,,
150,Maris,Rotted Woods,Far Southwest,Day 2 Gnoster Plague,Wormface,Tree Sentinel and Royal Cavalrymen,,Northwest of Castle,Southeast Rotted Woods,Crucible Knights,Great Church - Fire Monk,Fort - Lordsworn Captain,Camp - Elder Lion,Ruins - Sanguine Noble,Fort - Crystalians,Camp - Banished Knights,Camp - Banished Knights,,,,,Ruins - Erdtree Burial Watchdogs,Camp - Elder Lion,Great Church - Oracle Envoys,Fort - Crystalians,Ruins - Sanguine Noble,Church - Rats,Church - Normal,Small Camp - Misbegotten,Small Camp - Guilty,Church - Normal,,,,Small Camp - Misbegotten,Sorcerer's Rise - Unlit Candle,Church - Normal,Beastmen of Farum Azula,Godskin Noble,Banished Knights,Crucible Knight with Spear,,Stoneskin Lords,Grave Warden Duelist,Red Wolf,Bell Bearing Hunter,Erdtree Avatar,Golden Hippopotamus,Black Knife Assassin,Night's Cavalry,Elder Lion,Grafted Scion,,,Royal Revenant,Royal Carian Knight,Putrid Ancestral Followers,Magma Wyrm,Putrid Ancestral Followers,Royal Carian Knight,Ulcerated Tree Spirit,Death Rite Bird,Ancestor Spirit,Draconic Tree Sentinel,Southwest,,
151,Maris,Rotted Woods,West of Warmaster's Shack,,Gaping Dragon,Fallingstar Beast,,West Stormhill Graveyard,Southeast Rotted Woods,Crucible Knights,Ruins - Wormface,Camp - Flame Chariots,Great Church - Oracle Envoys,Fort - Lordsworn Captain,Ruins - Runebear,Great Church - Guardian Golem,Ruins - Wormface,,,,,Fort - Guardian Golem,Camp - Banished Knights,Ruins - Runebear,Camp - Flame Chariots,Ruins - Wormface,Church - Normal,Church - Normal,Small Camp - Caravans,Small Camp - Soldiers,Small Camp - Foot Soldiers,,,,Sorcerer's Rise - Above Door,Small Camp - Misbegotten,Church - Normal,Bloodhound Knight,Nox Warriors,Grave Warden Duelist,Crucible Knight with Sword,,Crucible Knight with Spear,Omen,Ancient Hero of Zamor,Black Blade Kindred,Tree Sentinel,Leonine Misbegotten,Golden Hippopotamus,Royal Carian Knight,Red Wolf,Grafted Scion,,,Miranda Blossom,Night's Cavalry,Magma Wyrm,Death Rite Bird,Putrid Ancestral Followers,Putrid Ancestral Followers,Bell Bearing Hunter,Draconic Tree Sentinel,Ancestor Spirit,Ulcerated Tree Spirit,West,,
152,Maris,Rotted Woods,Far Southwest,Walking Mausoleum,Grafted Monarch,Fallingstar Beast,,West Stormhill Graveyard,Southeast Rotted Woods,Crucible Knights,Camp - Elder Lion,Fort - Crystalians,Fort - Lordsworn Captain,Ruins - Perfumer,Great Church - Oracle Envoys,Camp - Banished Knights,Map Event - Northeast Stormhill,,,,,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Ruins - Albinauric Archers,Camp - Banished Knights,Great Church - Guardian Golem,Small Camp - Demi-Humans,Township - Township,Sorcerer's Rise - Unlit Candle,Church - Normal,Sorcerer's Rise - Withered Trees,,,,Small Camp - Misbegotten,Church - Normal,Church - Normal,Godskin Noble,Banished Knights,Nox Warriors,Beastmen of Farum Azula,,Godskin Apostle,Grave Warden Duelist,Royal Revenant,Black Blade Kindred,Magma Wyrm,Elder Lion,Ancient Hero of Zamor,Tree Sentinel,Grafted Scion,Red Wolf,,,Black Knife Assassin,Leonine Misbegotten,Bell Bearing Hunter,Magma Wyrm,Putrid Ancestral Followers,Erdtree Avatar,Draconic Tree Sentinel,Putrid Ancestral Followers,Royal Carian Knight,Ulcerated Tree Spirit,Northeast,,Southwest Corner
153,Maris,Rotted Woods,Below Summonwater Hawk,,Smelter Demon,Godskin Duo,,Northwest of Castle,Northwest Rotted Woods,Crucible Knights,Great Church - Fire Monk,Fort - Crystalians,Camp - Banished Knights,Great Church - Fire Monk,Ruins - Battlemages,Camp - Frenzied Flame Troll,Ruins - Erdtree Burial Watchdogs,,,,,Fort - Abductor Virgin,Ruins - Battlemages,Ruins - Battlemages,Camp - Banished Knights,Great Church - Guardian Golem,Church - Normal,Church - Normal,Township - Township,Small Camp - Dogs and Soldiers,Church - Normal,,,,Church - Rats,Sorcerer's Rise - Fog Door,Sorcerer's Rise - Fake Building,Stoneskin Lords,Godskin Noble,Crystalians,Dragonkin Soldier,,Beastmen of Farum Azula,Beastly Brigade,Bell Bearing Hunter,Death Rite Bird,Leonine Misbegotten,Demi-Human Queen,Night's Cavalry,Black Knife Assassin,Magma Wyrm,Golden Hippopotamus,,,Ancestor Spirit,Elder Lion,Ulcerated Tree Spirit,Putrid Ancestral Followers,Tree Sentinel,Erdtree Avatar,Putrid Ancestral Followers,Ancestor Spirit,Royal Carian Knight,Draconic Tree Sentinel,Northeast,,
154,Maris,Rotted Woods,Stormhill South of Gate,,Valiant Gargoyle,Godskin Duo,,West Stormhill Graveyard,Southeast Rotted Woods,Crucible Knights,Fort - Lordsworn Captain,Camp - Frenzied Flame Troll,Fort - Lordsworn Captain,Great Church - Guardian Golem,Great Church - Fire Monk,Ruins - Runebear,Ruins - Wormface,,,,,Ruins - Runebear,Camp - Redmane Knights,Camp - Redmane Knights,Ruins - Runebear,Fort - Abductor Virgin,Church - Normal,Township - Township,Small Camp - Foot Soldiers,Small Camp - Guilty,Church - Normal,,,,Church - Normal,Small Camp - Dogs,Sorcerer's Rise - Fake Building,Godskin Noble,Stoneskin Lords,Beastly Brigade,Omen,,Godskin Apostle,Banished Knights,Ancient Hero of Zamor,Death Rite Bird,Erdtree Avatar,Elder Lion,Royal Revenant,Black Knife Assassin,Red Wolf,Ulcerated Tree Spirit,,,Night's Cavalry,Grafted Scion,Ancestor Spirit,Death Rite Bird,Tree Sentinel,Draconic Tree Sentinel,Magma Wyrm,Putrid Ancestral Followers,Putrid Ancestral Followers,Bell Bearing Hunter,Southwest,,Northeast Corner
155,Maris,Noklateo,West of Warmaster's Shack,,Grafted Monarch,Godskin Duo,,Northeast Corner,Noklateo Entrance,,,,,Great Church - Oracle Envoys,Camp - Redmane Knights,Ruins - Battlemages,Fort - Guardian Golem,Ruins - Albinaurics,Camp - Royal Army Knights,Camp - Royal Army Knights,Ruins - Sanguine Noble,Ruins - Sanguine Noble,Fort - Abductor Virgin,Great Church - Mausoleum Knight,Ruins - Sanguine Noble,Camp - Leonine Misbegotten,,,,Church - Normal,Small Camp - Foot Soldiers,Church - Normal,Sorcerer's Rise - Fleeing Stump,Small Camp - Dogs and Soldiers,Church - Normal,Sorcerer's Rise - Unlit Candle,Small Camp - Caravans,,Godskin Noble,Banished Knights,Crystalians,Beastmen of Farum Azula,Dragonkin Soldier,Beastly Brigade,,,,,Elder Lion,Black Knife Assassin,Night's Cavalry,Ulcerated Tree Spirit,Tree Sentinel,Grafted Scion,Bell Bearing Hunter,Miranda Blossom,,,,,,,,,,,
156,Maris,Noklateo,Above Stormhill Tunnel Entrance,Day 2 Night Horde,Gaping Dragon,Fallingstar Beast,,West Stormhill Graveyard,Noklateo Entrance,,,,,Great Church - Oracle Envoys,Camp - Banished Knights,Ruins - Albinauric Archers,Fort - Abductor Virgin,Great Church - Mausoleum Knight,Ruins - Erdtree Burial Watchdogs,Fort - Abductor Virgin,Camp - Royal Army Knights,Great Church - Oracle Envoys,Ruins - Erdtree Burial Watchdogs,Ruins - Runebear,Camp - Leonine Misbegotten,Fort - Guardian Golem,,,,Small Camp - Shack,Church - Normal,Sorcerer's Rise - Unlit Candle,Small Camp - Caravans,Sorcerer's Rise - Fog Door,Church - Normal,Small Camp - Guilty,Church - Normal,,Beastmen of Farum Azula,Beastly Brigade,Stoneskin Lords,Crucible Knight with Sword,Godskin Noble,Nox Warriors,,,,,Leonine Misbegotten,Golden Hippopotamus,Miranda Blossom,Royal Carian Knight,Demi-Human Queen,Bell Bearing Hunter,Red Wolf,Magma Wyrm,,,,,,,,,,,
157,Maris,Noklateo,Southeast of Lake,,Valiant Gargoyle,Tree Sentinel and Royal Cavalrymen,,Northeast Corner,Noklateo Entrance,,,,,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,Camp - Elder Lion,Ruins - Runebear,Ruins - Ancient Heroes of Zamor,Fort - Crystalians,Great Church - Guardian Golem,Camp - Flame Chariots,Camp - Banished Knights,Fort - Lordsworn Captain,Ruins - Sanguine Noble,Camp - Banished Knights,Great Church - Mausoleum Knight,,,,Church - Normal,Small Camp - Soldiers,Small Camp - Demi-Humans,Township - Township,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Above Door,Church - Normal,,Grave Warden Duelist,Godskin Noble,Nox Warriors,Stoneskin Lords,Crucible Knight with Spear,Beastmen of Farum Azula,,,,,Bell Bearing Hunter,Flying Dragon,Ancient Hero of Zamor,Night's Cavalry,Ulcerated Tree Spirit,Grafted Scion,Miranda Blossom,Demi-Human Queen,,,,,,,,,,,Northwest Corner
158,Maris,Noklateo,Northeast of Saintsbridge,Day 1 Gnoster Plague,Smelter Demon,Fallingstar Beast,,West Stormhill Graveyard,Noklateo Entrance,,,,,Great Church - Oracle Envoys,Ruins - Battlemages,Camp - Redmane Knights,Camp - Flame Chariots,Ruins - Albinauric Archers,Fort - Abductor Virgin,Camp - Royal Army Knights,Great Church - Mausoleum Knight,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Ruins - Ancient Heroes of Zamor,Great Church - Oracle Envoys,Camp - Royal Army Knights,,,,Church - Normal,Small Camp - Caravans,Church - Normal,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Above Door,Church - Normal,Sorcerer's Rise - Fog Door,Church - Rats,,Beastmen of Farum Azula,Dragonkin Soldier,Nox Warriors,Stoneskin Lords,Omen,Godskin Apostle,,,,,Erdtree Avatar,Black Knife Assassin,Ancestor Spirit,Royal Revenant,Miranda Blossom,Royal Carian Knight,Red Wolf,Night's Cavalry,,,,,,,,,,,Southeast Lakeshore
159,Maris,Noklateo,West of Warmaster's Shack,,Wormface,Godskin Duo,,West Stormhill Graveyard,Noklateo Entrance,,,,,Fort - Guardian Golem,Great Church - Fire Monk,Camp - Royal Army Knights,Camp - Elder Lion,Ruins - Battlemages,Fort - Guardian Golem,Great Church - Oracle Envoys,Camp - Royal Army Knights,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Ruins - Albinauric Archers,Camp - Redmane Knights,Ruins - Runebear,,,,Church - Normal,Small Camp - Rats and Demi-Humans,Sorcerer's Rise - Missing Statue,Township - Township,Church - Normal,Small Camp - Soldiers,Small Camp - Guilty,Church - Normal,,Omen,Godskin Apostle,Bloodhound Knight,Dragonkin Soldier,Stoneskin Lords,Death Rite Bird,,,,,Royal Revenant,Miranda Blossom,Leonine Misbegotten,Royal Carian Knight,Ulcerated Tree Spirit,Night's Cavalry,Bell Bearing Hunter,Elder Lion,,,,,,,,,,,
160,Libra,Default,Stormhill South of Gate,Difficult Sorcerer's Rise,Battlefield Commander,Crucible Knight and Golden Hippopotamus,,Northwest Corner,East of Saintsbridge,Banished Knights,Camp - Elder Lion,Camp - Elder Lion,Great Church - Mausoleum Knight,Ruins - Albinaurics,Great Church - Guardian Golem,Camp - Banished Knights,Fort - Lordsworn Captain,Fort - Crystalians,Ruins - Depraved Perfumer,Fort - Crystalians,Camp - Banished Knights,Camp - Elder Lion,Ruins - Albinaurics,Camp - Leonine Misbegotten,Ruins - Sanguine Noble,Great Church - Mausoleum Knight,Church - Normal,Small Camp - Caravans,Small Camp - Shack,Small Camp - Dogs,Church - Normal,Sorcerer's Rise - Pool Reflection,Small Camp - Caravans,Small Camp - Dogs,Small Camp - Soldiers,"Difficult Sorcerer's Rise - Imp Statue, Windy Trees, Second Floor",Church - Normal,Bloodhound Knight,Banished Knights,Stoneskin Lords,Dragonkin Soldier,Beastly Brigade,Crucible Knight with Sword,Beastmen of Farum Azula,Leonine Misbegotten,Ulcerated Tree Spirit,Royal Carian Knight,Elder Lion,Magma Wyrm,Grafted Scion,Flying Dragon,Night's Cavalry,Golden Hippopotamus,Royal Revenant,Death Rite Bird,Red Wolf,,,,,,,,,,,
161,Libra,Default,Stormhill South of Gate,Day 2 Gnoster Plague,Tibia Mariner,Death Rite Bird,,Northwest Lake,East of Saintsbridge,Banished Knights,Camp - Flame Chariots,Camp - Leonine Misbegotten,Fort - Lordsworn Captain,Great Church - Fire Monk,Camp - Banished Knights,Ruins - Depraved Perfumer,Fort - Lordsworn Captain,Camp - Leonine Misbegotten,Ruins - Erdtree Burial Watchdogs,Ruins - Ancient Heroes of Zamor,Great Church - Mausoleum Knight,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,Fort - Guardian Golem,Camp - Flame Chariots,Fort - Guardian Golem,Sorcerer's Rise - Unlit Candle,Sorcerer's Rise - Withered Trees,Small Camp - Shack,Small Camp - Misbegotten,Small Camp - Caravans,Small Camp - Dogs and Soldiers,Church - Normal,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Imp Statue,Church - Normal,Bloodhound Knight,Nox Warriors,Stoneskin Lords,Beastly Brigade,Dragonkin Soldier,Godskin Noble,Beastmen of Farum Azula,Black Knife Assassin,Ancestor Spirit,Miranda Blossom,Bell Bearing Hunter,Flying Dragon,Erdtree Avatar,Elder Lion,Ancient Hero of Zamor,Royal Revenant,Demi-Human Queen,Tree Sentinel,Leonine Misbegotten,,,,,,,,,,,
162,Libra,Default,Far Southwest,,Centipede Demon,Death Rite Bird,,Northwest Corner,Southwest Mistwood,Trolls,Ruins - Sanguine Noble,Great Church - Mausoleum Knight,Camp - Royal Army Knights,Camp - Elder Lion,Camp - Frenzied Flame Troll,Ruins - Wormface,Ruins - Wormface,Ruins - Sanguine Noble,Fort - Crystalians,Great Church - Guardian Golem,Camp - Royal Army Knights,Camp - Frenzied Flame Troll,Fort - Abductor Virgin,Ruins - Beastmen of Farum Azula,Great Church - Mausoleum Knight,Ruins - Wormface,Small Camp - Wandering Nobles,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Caravans,Church - Normal,Small Camp - Guilty,Church - Normal,Small Camp - Guilty,Small Camp - Dogs and Soldiers,Small Camp - Guilty,Sorcerer's Rise - Fake Building,Beastmen of Farum Azula,Omen,Godskin Apostle,Godskin Noble,Crystalians,Nox Warriors,Stoneskin Lords,Ancient Hero of Zamor,Royal Carian Knight,Miranda Blossom,Magma Wyrm,Golden Hippopotamus,Red Wolf,Bell Bearing Hunter,Elder Lion,Leonine Misbegotten,Ancestor Spirit,Tree Sentinel,Royal Revenant,,,,,,,,,,,
163,Libra,Default,Southeast of Lake,,Tibia Mariner,Crucible Knight and Golden Hippopotamus,,East of Saintsbridge,Southwest Corner,Trolls,Camp - Frenzied Flame Troll,Ruins - Runebear,Ruins - Runebear,Ruins - Beastmen of Farum Azula,Fort - Crystalians,Camp - Frenzied Flame Troll,Great Church - Fire Monk,Fort - Crystalians,Great Church - Oracle Envoys,Camp - Elder Lion,Ruins - Wormface,Great Church - Fire Monk,Fort - Lordsworn Captain,Fort - Lordsworn Captain,Camp - Flame Chariots,Ruins - Beastmen of Farum Azula,Small Camp - Soldiers,Church - Normal,Church - Normal,Church - Normal,Small Camp - Caravans,Small Camp - Caravans and Nobles,Sorcerer's Rise - Fleeing Stump,Small Camp - Guilty,Small Camp - Caravans,Sorcerer's Rise - Pool Reflection,Small Camp - Guilty,Omen,Crystalians,Stoneskin Lords,Crucible Knight with Spear,Beastmen of Farum Azula,Godskin Apostle,Nox Warriors,Grafted Scion,Tree Sentinel,Elder Lion,Draconic Tree Sentinel,Ulcerated Tree Spirit,Red Wolf,Demi-Human Queen,Night's Cavalry,Ancestor Spirit,Miranda Blossom,Black Blade Kindred,Royal Revenant,,,,,,,,,,,
164,Libra,Default,Stormhill South of Gate,,Centipede Demon,Godskin Duo,,Southwest Corner,Southwest Mistwood,Crucible Knights,Camp - Frenzied Flame Troll,Great Church - Mausoleum Knight,Fort - Abductor Virgin,Ruins - Battlemages,Ruins - Depraved Perfumer,Great Church - Guardian Golem,Camp - Elder Lion,Ruins - Depraved Perfumer,Ruins - Battlemages,Ruins - Beastmen of Farum Azula,Ruins - Beastmen of Farum Azula,Ruins - Battlemages,Fort - Lordsworn Captain,Camp - Redmane Knights,Ruins - Depraved Perfumer,Ruins - Beastmen of Farum Azula,Church - Normal,Church - Normal,Small Camp - Caravans and Nobles,Church - Normal,Small Camp - Guilty,Sorcerer's Rise - Fake Building,Sorcerer's Rise - Above Door,Small Camp - Dogs,Small Camp - Guilty,Small Camp - Caravans,Small Camp - Dogs,Grave Warden Duelist,Banished Knights,Godskin Apostle,Dragonkin Soldier,Beastmen of Farum Azula,Ancient Dragon,Crystalians,Grafted Scion,Erdtree Avatar,Royal Revenant,Ulcerated Tree Spirit,Royal Carian Knight,Draconic Tree Sentinel,Black Knife Assassin,Leonine Misbegotten,Black Blade Kindred,Night's Cavalry,Golden Hippopotamus,Red Wolf,,,,,,,,,,,
